nom;variete;famille;categorie;profondeur_mm;espacement_cm;mois_semis;levee_min_j;levee_max_j;recolte_min_j;recolte_max_j;temp_min_germination_c;exposition;besoin_eau;semis_direct;notes
Radis;18 jours;Brassicacées;legume_racine;10;5;3,4,5,6,7,8,9;3;6;25;35;10;plein_soleil;moyen;oui;Lève vite et pardonne peu : un semis trop dense donne des radis filants. Éclaircir dès la première feuille. Un manque d'eau régulier les rend creux et piquants.
Mâche;Verte de Cambrai;Valérianacées;legume_feuille;5;10;8,9,10;7;14;60;90;5;mi_ombre;moyen;oui;Germe mal au-dessus de 20 °C : semer en fin d'été, jamais en pleine chaleur. Tasser légèrement après semis, la graine a besoin d'un bon contact avec le sol.
Roquette;Cultivée;Brassicacées;legume_feuille;5;10;3,4,5,6,7,8,9;4;8;30;40;8;mi_ombre;moyen;oui;Monte en graine dès qu'il fait chaud et sec. À l'ombre l'été, la feuille reste tendre plus longtemps. Se recoupe trois à quatre fois.
Laitue à couper;Feuille de chêne;Astéracées;legume_feuille;5;20;3,4,5,6,7,8,9;4;10;40;60;8;mi_ombre;eleve;oui;Ne pas enterrer : la graine a besoin de lumière pour germer, un simple plombage suffit. Germination bloquée au-dessus de 25 °C.
Épinard;Géant d'hiver;Amaranthacées;legume_feuille;20;15;3,4,8,9;7;14;45;60;5;mi_ombre;moyen;oui;Redoute la chaleur et monte vite. Semis de printemps et d'arrière-saison uniquement. Demande un bac profond, la racine pivote.
Carotte;Marché de Paris;Apiacées;legume_racine;10;5;3,4,5,6,7;10;20;70;90;8;plein_soleil;moyen;oui;Variété ronde, la seule vraiment adaptée aux bacs peu profonds. La levée est lente : garder le semis humide en permanence, une croûte sèche la bloque.
Navet;Boule d'or;Brassicacées;legume_racine;10;10;3,4,5,6,7,8,9;4;8;50;70;8;plein_soleil;moyen;oui;Pousse vite et se récolte jeune, avant que la chair ne devienne fibreuse. Bac de 25 cm de profondeur minimum.
Oignon blanc;De Paris;Amaryllidacées;legume_racine;10;8;2,3,8,9;8;15;90;120;8;plein_soleil;faible;oui;Craint l'excès d'eau, qui fait pourrir le bulbe. Un substrat drainant est plus important que riche.
Ciboulette;Commune;Amaryllidacées;aromatique;10;15;3,4,5,6;10;20;90;120;12;mi_ombre;moyen;oui;Vivace : une fois installée, elle repart chaque printemps. Couper à 3 cm du sol plutôt que d'arracher les brins.
Persil;Frisé vert foncé;Apiacées;aromatique;10;20;3,4,5,6,7;15;30;70;90;12;mi_ombre;moyen;oui;Germination réputée capricieuse : tremper les graines une nuit accélère nettement la levée. Ne pas désespérer avant trois semaines.
Basilic;Grand vert;Lamiacées;aromatique;5;25;4,5,6;5;10;60;80;18;plein_soleil;eleve;non;Ne rien semer avant que les nuits ne dépassent 12 °C. Pincer la tête dès six feuilles pour qu'il buissonne au lieu de monter.
Coriandre;À feuilles;Apiacées;aromatique;10;15;4,5,6,7,8;7;15;50;70;12;mi_ombre;moyen;oui;Monte en graine à la moindre sécheresse ou chaleur. Semer peu et souvent plutôt qu'une seule fois.
Aneth;Commun;Apiacées;aromatique;10;20;4,5,6,7;10;20;60;80;12;plein_soleil;moyen;oui;Racine pivotante qui supporte mal le repiquage : semer directement en place. Prévoir un bac profond.
Thym;Commun;Lamiacées;aromatique;3;30;4,5,6;14;28;120;180;15;plein_soleil;faible;non;Graine minuscule à peine recouverte. Vivace qui déteste l'humidité stagnante : le drainage prime sur tout le reste.
Menthe;Verte;Lamiacées;aromatique;3;30;4,5,6;10;20;90;120;15;mi_ombre;eleve;non;Envahissante par ses rhizomes : à cultiver dans son propre bac, jamais en mélange, sous peine de tout coloniser.
Haricot nain;Contender;Fabacées;legumineuse;30;10;5,6,7;6;12;55;70;12;plein_soleil;moyen;oui;Semer par poquets de cinq graines. Ne jamais semer dans une terre froide : la graine pourrit avant de lever.
Pois nain;Petit provençal;Fabacées;legumineuse;30;5;3,4,5;7;14;70;90;8;plein_soleil;moyen;oui;Supporte le froid et se sème tôt. Les variétés naines évitent d'avoir à installer un support.
Fève;Aguadulce;Fabacées;legumineuse;50;20;2,3,4,10,11;10;20;100;130;5;plein_soleil;moyen;oui;Se sème en automne dans les régions douces, sinon en fin d'hiver. Graine enterrée profond, bac d'au moins 30 cm.
Tomate cerise;Cerise rouge;Solanacées;legume_fruit;5;40;3,4;6;12;100;130;18;plein_soleil;eleve;non;Semis en godet au chaud, mise en place après les dernières gelées. Compter 20 litres de substrat par pied, c'est le minimum en bac.
Poivron;Doux long des Landes;Solanacées;legume_fruit;5;40;2,3,4;10;20;120;150;20;plein_soleil;eleve;non;Germination lente et exigeante en chaleur : sans 20 °C constants, la levée est très irrégulière.
Piment;De Cayenne;Solanacées;legume_fruit;5;40;2,3,4;10;21;120;150;20;plein_soleil;eleve;non;Mêmes exigences que le poivron, en plus lent encore. Semer tôt sous abri pour espérer une récolte.
